Description,Price,Rating,ReviewCount,url
AmazonBasics L-Shape Computer Desk with Shelves for Storage - Black,$231.11 ,4.5 out of 5 stars,451,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo0Mjg0NTY1NTAyOTQ3MDczOjE2NjExMjYxNTg6c3BfYXRmOjIwMDA3MTk5NjIxOTU5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FAmazonBasics-L-Shape-Computer-Shelves-Storage%2Fdp%2FB08DJQQS4K%2Fref%3Dsr_1_1_sspa%3Fcrid%3DKQWQ1T01TXQ2%26keywords%3Doffice%2Bdesk%26qid%3D1661126158%26sprefix%3Doffice%2Bdesk%252Caps%252C79%26sr%3D8-1-spons%26psc%3D1
"Maxzzz Office Desk 55.1 Inch, Computer Desk with Adjustable Storage Shelves, Home Office Desk Work Table Modern Simple Style Desks for Work, Learning, Gaming, Black and Vintage (55.1x19.7x29.5 Inch)",$145.99 ,,,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo0Mjg0NTY1NTAyOTQ3MDczOjE2NjExMjYxNTg6c3BfYXRmOjIwMDA4MDU4OTU1NzY5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FMaxzzz-Computer-Adjustable-Learning-55-1x19-7x29-5%2Fdp%2FB09WN6D9NH%2Fref%3Dsr_1_2_sspa%3Fcrid%3DKQWQ1T01TXQ2%26keywords%3Doffice%2Bdesk%26qid%3D1661126158%26sprefix%3Doffice%2Bdesk%252Caps%252C79%26sr%3D8-2-spons%26psc%3D1
"HOMEYFINE Computer Desk,Laptop Table with Storage for Controller,40 Inches,Wood and Metal,Study Table for Home Office(Vintage Oak Finish)",$85.99 ,4.6 out of 5 stars,513,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo0Mjg0NTY1NTAyOTQ3MDczOjE2NjExMjYxNTg6c3BfYXRmOjIwMDAzNjMxMTM0NTMxMTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FHOMEYFINE-Computer-Storage-Controller-Vintage%2Fdp%2FB08BPBKLXZ%2Fref%3Dsr_1_3_sspa%3Fcrid%3DKQWQ1T01TXQ2%26keywords%3Doffice%2Bdesk%26qid%3D1661126158%26sprefix%3Doffice%2Bdesk%252Caps%252C79%26sr%3D8-3-spons%26psc%3D1
"Maxzzz Computer Desk, Home Office Desk 47.24 Inch with Adjustable Storage Shelves, Work Desk Office Table, Modern Simple Style Desks for Work, Learning, Gaming, Black and Vintage(47.24x19.7x29.5 Inch)",$129.99 ,,,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo0Mjg0NTY1NTAyOTQ3MDczOjE2NjExMjYxNTg6c3BfYXRmOjIwMDA4MDU4OTU1Nzc5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FMaxzzz-Computer-Adjustable-Learning-47-24x19-7x29-5%2Fdp%2FB09WN6B9MK%2Fref%3Dsr_1_4_sspa%3Fcrid%3DKQWQ1T01TXQ2%26keywords%3Doffice%2Bdesk%26qid%3D1661126158%26sprefix%3Doffice%2Bdesk%252Caps%252C79%26sr%3D8-4-spons%26psc%3D1
"POWAITER Home Office Desk, Computer Desk 39"" Study Writing Table, Latop Table, Modern Simple PC Desk with Splice Board, Rustic Brown and Black",$105.99 ,4.5 out of 5 stars,786,https://www.amazon.ca/Office-POWAITER-Computer-Writing-Modern/dp/B08T8T7R6C/ref=sr_1_5?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-5
"CAIYUN Computer Home Office Desk, Desk Table with Storage Shelf and Bookshelf Storage Bag, Study Writing Table Modern Simple Style Space Saving Design (47 inch, Black+Rustic Brown)",$159.99 ,4.2 out of 5 stars,53,https://www.amazon.ca/CAIYUN-Computer-Storage-Bookshelf-Writing/dp/B09T9VZTBK/ref=sr_1_6?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-6
"HOMIDEC Writing Computer Desk, Office Work Desk with Bookshelf, 63 Inch Study Laptop Table with 4 Tier DIY Storage Shelves, Modern Simple Style Desks for Bedroom, Home, Office (63 x 23.6 x 43.3 inch)",$173.99 ,4.5 out of 5 stars,673,https://www.amazon.ca/HOMIDEC-Writing-Computer-Bookshelf-62-9x23-6x43-3inch/dp/B089QDQTNW/ref=sr_1_7?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-7
"Flrrtenv Home Office Computer Desk, Modern Industrial Simple Table, Workstation, Study Writing Desk,47 inch, Natural",$84.99 ,4.3 out of 5 stars,"2,239",https://www.amazon.ca/Flrrtenv-Computer-Industrial-Workstation-Writing/dp/B0895KCD23/ref=sr_1_8?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-8
"Rolanstar Computer Desk L-Shaped with Power Outlet and USB Port, 54"" x 54"" Corner Gaming Desk with Monitor Stand and Keyboard Tray, Home Office Desk with Hook, Rustic Brown",$209.99 ,4.6 out of 5 stars,759,https://www.amazon.ca/Rolanstar-Computer-L-Shaped-Monitor-Keyboard/dp/B095H59NDR/ref=sr_1_9?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-9
"SHW Home Office Computer Desk, Silver/Espresso, 48-Inch (121 cm W x 60 cm D)",$107.87 ,4.5 out of 5 stars,"25,171",https://www.amazon.ca/SHW-Office-48-Inch-Computer-Espresso/dp/B07Q3YR6GV/ref=sr_1_10?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-10
