Description,Price,Rating,ReviewCount,url
"SAMSUNG 32 Inch 4K UHD Monitor, Computer Monitor, Wide Monitor, HDMI Monitor, HDR 10 (1 Billion Colors), 3 Sided Borderless Design, TUV-Certified Intelligent Eye Care, S70A (LS32A704NWNXZA)",$398.00,4.1 out of 5 stars,"1,282",https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo4MDQ2Njk5MTI3NzY4MDE0OjE2NjEwMDM5Mjg6c3BfYXRmOjIwMDA1NDU1NDY4MzQ5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FComputer-Borderless-TUV-Certified-Intelligent-LS32A704NWNXZA%2Fdp%2FB08YFM2F67%2Fref%3Dsr_1_1_sspa%3Fcrid%3DKQWQ1T01TXQ2%26keywords%3Dultrawide%2Bmonitor%26qid%3D1661003928%26sprefix%3Doffice%2Bdesk%252Caps%252C79%26sr%3D8-1-spons%26psc%3D1
"SAMSUNG Odyssey QHD 32-Inch Gaming Monitor, 2560*1440, 165Hz, G-Sync & FreeSync, HDR10 (LS32AG500PNXZA)",$398.00,4.4 out of 5 stars,"14,126",https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo4MDQ2Njk5MTI3NzY4MDE0OjE2NjEwMDM5Mjg6c3BfYXRmOjIwMDA1NDU2MDYzMzU5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FSAMSUNG-Odyssey-32-Inch-FreeSync-LS32AG500PNXZA%2Fdp%2FB09Q7NC1RW%2Fref%3Dsr_1_2_sspa%3Fcrid%3DKQWQ1T01TXQ2%26keywords%3Dultrawide%2Bmonitor%26qid%3D1661003928%26sprefix%3Doffice%2Bdesk%252Caps%252C79%26sr%3D8-2-spons%26psc%3D1
"Samsung Monitor T55 32 Inch |32"" Curved Monitor (LC32T550FDNXZA) - Curved, 1000R, 1080P, 4ms, AMD Freesync, HDMI, DP",$248.00,4.5 out of 5 stars,"5,420",https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo4MDQ2Njk5MTI3NzY4MDE0OjE2NjEwMDM5Mjg6c3BfYXRmOjIwMDA4MDA0MzI2NTU5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FSamsung-Monitor-Inch-Curved-LC32T550FDNXZA%2Fdp%2FB086VR4QR4%2Fref%3Dsr_1_3_sspa%3Fcrid%3DKQWQ1T01TXQ2%26keywords%3Dultrawide%2Bmonitor%26qid%3D1661003928%26sprefix%3Doffice%2Bdesk%252Caps%252C79%26sr%3D8-3-spons%26psc%3D1
"LG UltraWide 29WP500-B 29 Inch Full HD 5ms 75Hz Monitor with IPS Display and AMD FreeSync, Black",$281.46,4.6 out of 5 stars,69,https://www.amazon.ca/LG-29WP500-B-UltraWide-Monitor-FreeSync/dp/B092RBXXPT/ref=sr_1_4?crid=KQWQ1T01TXQ2&keywords=ultrawide+monitor&qid=1661003928&sprefix=office+desk%2Caps%2C79&sr=8-4
"ViewSonic VA3456-MHDJ 34 Inch 21:9 UltraWide WQHD 1440p IPS Monitor with Ultra-Thin Bezels, Ergonomics Design, HDMI, and DisplayPort Inputs for Home and Office",$457.99,4.5 out of 5 stars,"1,140",https://www.amazon.ca/ViewSonic-VA3456-MHDJ-Inch-Ergonomics-DisplayPort/dp/B08TKGWGCW/ref=sr_1_5?crid=KQWQ1T01TXQ2&keywords=ultrawide+monitor&qid=1661003928&sprefix=office+desk%2Caps%2C79&sr=8-5
"LG 34WN780-B UltraWide Monitor 34"" 21:9 QHD (3440 x 1440) IPS Display, HDR10, AMD FreeSync, 3-Side Virtually Borderless Design, Ergo Stand - Black",$700.14,4.2 out of 5 stars,"3,422",https://www.amazon.ca/LG-34WN780-B-Inch-UltraWide-Borderless/dp/B08HR3TM4Z/ref=sr_1_6?crid=KQWQ1T01TXQ2&keywords=ultrawide+monitor&qid=1661003928&sprefix=office+desk%2Caps%2C79&sr=8-6
"HUAWEI MateView GT 34'' Ultrawide Curved Gaming Monitor, 165Hz, 21:9 WQHD 3440 x 1440, 3K+, 1500R, Dual 5W Speaker SoundBar, Touch Volume Control, 360° Dual Mics, USB-C, HDMI, DP, Black",$598.99,4.4 out of 5 stars,45,https://www.amazon.ca/HUAWEI-MateView-Ultrawide-Curved-Monitor/dp/B09PQ75LYY/ref=sr_1_7?crid=KQWQ1T01TXQ2&keywords=ultrawide+monitor&qid=1661003928&sprefix=office+desk%2Caps%2C79&sr=8-7
"LG UltraWide 34WP500-B 34 Inch Full HD 5ms 75Hz IPS Wide Monitor, AMD FreeSync, Black",$338.36,4.3 out of 5 stars,50,https://www.amazon.ca/LG-UltraWide-34WP500-B-Monitor-FreeSync/dp/B092RFGG5T/ref=sr_1_8?crid=KQWQ1T01TXQ2&keywords=ultrawide+monitor&qid=1661003928&sprefix=office+desk%2Caps%2C79&sr=8-8
"Sceptre Curved 30"" 21:9 Gaming LED Monitor 2560x1080p UltraWide Ultra Slim HDMI DisplayPort Up to 85Hz MPRT 1ms FPS-RTS Build-in Speakers, Machine Blue (C305W-2560UN)",$388.29,4.5 out of 5 stars,"4,381",https://www.amazon.ca/Sceptre-30-Inch-C305W-2560UN-DisplayPort-Build/dp/B07XZNXWGS/ref=sr_1_9?crid=KQWQ1T01TXQ2&keywords=ultrawide+monitor&qid=1661003928&sprefix=office+desk%2Caps%2C79&sr=8-9
"ASUS 34” Ultrawide HDR Gaming Monitor (VP349CGL) - 21:9 UWQHD (3440 x 1440), IPS, 100Hz, 1ms, USB-C w/Power Delivery, FreeSync, Eye Care Plus, VESA Mountable, HDMI, DisplayPort, Height Adjustable",$588.37,4.7 out of 5 stars,9,https://www.amazon.ca/ASUS-Ultrawide-Gaming-Monitor-VP349CGL/dp/B09G94PTZR/ref=sr_1_10?crid=KQWQ1T01TXQ2&keywords=ultrawide+monitor&qid=1661003928&sprefix=office+desk%2Caps%2C79&sr=8-10
